Name;Station;Time(norwegian mean time);Snow depth
Ny-ålesund;SN99910;30.08.2009;0
Ny-ålesund;SN99910;31.08.2009;0
Ny-ålesund;SN99910;01.09.2009;0
Ny-ålesund;SN99910;02.09.2009;0
Ny-ålesund;SN99910;03.09.2009;0
Ny-ålesund;SN99910;04.09.2009;0
Ny-ålesund;SN99910;05.09.2009;0
Ny-ålesund;SN99910;06.09.2009;0
Ny-ålesund;SN99910;07.09.2009;0
Ny-ålesund;SN99910;08.09.2009;0
Ny-ålesund;SN99910;09.09.2009;0
Ny-ålesund;SN99910;10.09.2009;0
Ny-ålesund;SN99910;11.09.2009;0
Ny-ålesund;SN99910;12.09.2009;0
Ny-ålesund;SN99910;13.09.2009;0
Ny-ålesund;SN99910;14.09.2009;2
Ny-ålesund;SN99910;15.09.2009;0
Ny-ålesund;SN99910;16.09.2009;0
Ny-ålesund;SN99910;17.09.2009;0
Ny-ålesund;SN99910;18.09.2009;0
Ny-ålesund;SN99910;19.09.2009;0
Ny-ålesund;SN99910;20.09.2009;0
Ny-ålesund;SN99910;21.09.2009;0
Ny-ålesund;SN99910;22.09.2009;0
Ny-ålesund;SN99910;23.09.2009;0
Ny-ålesund;SN99910;24.09.2009;0
Ny-ålesund;SN99910;25.09.2009;0
Ny-ålesund;SN99910;26.09.2009;0
Ny-ålesund;SN99910;27.09.2009;0
Ny-ålesund;SN99910;28.09.2009;0
Ny-ålesund;SN99910;29.09.2009;0
Ny-ålesund;SN99910;30.09.2009;0
Ny-ålesund;SN99910;02.10.2009;0
Ny-ålesund;SN99910;03.10.2009;0
Ny-ålesund;SN99910;04.10.2009;0
Ny-ålesund;SN99910;05.10.2009;0
Ny-ålesund;SN99910;06.10.2009;0
Ny-ålesund;SN99910;07.10.2009;0
Ny-ålesund;SN99910;08.10.2009;0
Ny-ålesund;SN99910;09.10.2009;0
Ny-ålesund;SN99910;10.10.2009;0
Ny-ålesund;SN99910;11.10.2009;0
Ny-ålesund;SN99910;12.10.2009;0
Ny-ålesund;SN99910;13.10.2009;0
Ny-ålesund;SN99910;14.10.2009;2
Ny-ålesund;SN99910;15.10.2009;3
Ny-ålesund;SN99910;16.10.2009;7
Ny-ålesund;SN99910;17.10.2009;6
Ny-ålesund;SN99910;18.10.2009;2
Ny-ålesund;SN99910;19.10.2009;4
Ny-ålesund;SN99910;20.10.2009;5
Ny-ålesund;SN99910;21.10.2009;4
Ny-ålesund;SN99910;22.10.2009;11
Ny-ålesund;SN99910;23.10.2009;17
Ny-ålesund;SN99910;24.10.2009;16
Ny-ålesund;SN99910;25.10.2009;14
Ny-ålesund;SN99910;26.10.2009;14
Ny-ålesund;SN99910;27.10.2009;13
Ny-ålesund;SN99910;28.10.2009;13
Ny-ålesund;SN99910;29.10.2009;12
Ny-ålesund;SN99910;30.10.2009;21
Ny-ålesund;SN99910;31.10.2009;22
Ny-ålesund;SN99910;01.11.2009;15
Ny-ålesund;SN99910;02.11.2009;14
Ny-ålesund;SN99910;03.11.2009;10
Ny-ålesund;SN99910;04.11.2009;10
Ny-ålesund;SN99910;05.11.2009;11
Ny-ålesund;SN99910;06.11.2009;11
Ny-ålesund;SN99910;07.11.2009;11
Ny-ålesund;SN99910;08.11.2009;11
Ny-ålesund;SN99910;09.11.2009;10
Ny-ålesund;SN99910;10.11.2009;12
Ny-ålesund;SN99910;11.11.2009;6
Ny-ålesund;SN99910;12.11.2009;0
Ny-ålesund;SN99910;13.11.2009;2
Ny-ålesund;SN99910;14.11.2009;2
Ny-ålesund;SN99910;15.11.2009;2
Ny-ålesund;SN99910;16.11.2009;2
Ny-ålesund;SN99910;17.11.2009;0
Ny-ålesund;SN99910;18.11.2009;0
Ny-ålesund;SN99910;19.11.2009;0
Ny-ålesund;SN99910;20.11.2009;0
Ny-ålesund;SN99910;21.11.2009;0
Ny-ålesund;SN99910;22.11.2009;0
Ny-ålesund;SN99910;23.11.2009;0
Ny-ålesund;SN99910;24.11.2009;0
Ny-ålesund;SN99910;25.11.2009;0
Ny-ålesund;SN99910;26.11.2009;0
Ny-ålesund;SN99910;27.11.2009;2
Ny-ålesund;SN99910;28.11.2009;0
Ny-ålesund;SN99910;29.11.2009;0
Ny-ålesund;SN99910;30.11.2009;0
Ny-ålesund;SN99910;01.12.2009;0
Ny-ålesund;SN99910;02.12.2009;0
Ny-ålesund;SN99910;03.12.2009;0
Ny-ålesund;SN99910;04.12.2009;0
Ny-ålesund;SN99910;05.12.2009;0
Ny-ålesund;SN99910;06.12.2009;2
Ny-ålesund;SN99910;07.12.2009;2
Ny-ålesund;SN99910;08.12.2009;2
Ny-ålesund;SN99910;09.12.2009;2
Ny-ålesund;SN99910;10.12.2009;2
Ny-ålesund;SN99910;11.12.2009;0
Ny-ålesund;SN99910;12.12.2009;0
Ny-ålesund;SN99910;13.12.2009;0
